>>> Training starts at  2024-11-24 02:52:54.050172
Filling replay buffer...
Training...
tensor(7.1847, grad_fn=<MseLossBackward0>)
tensor(11.6260, grad_fn=<MseLossBackward0>)
tensor(8.2354, grad_fn=<MseLossBackward0>)
tensor(4.8997, grad_fn=<MseLossBackward0>)
tensor(168.5383, grad_fn=<MseLossBackward0>)
tensor(4.1416, grad_fn=<MseLossBackward0>)
tensor(22.8252, grad_fn=<MseLossBackward0>)
tensor(168.3560, grad_fn=<MseLossBackward0>)
tensor(166.4203, grad_fn=<MseLossBackward0>)
tensor(10.0813, grad_fn=<MseLossBackward0>)
tensor(160.1332, grad_fn=<MseLossBackward0>)
tensor(37.6652, grad_fn=<MseLossBackward0>)
tensor(363.1432, grad_fn=<MseLossBackward0>)
tensor(7.4943, grad_fn=<MseLossBackward0>)
tensor(161.5302, grad_fn=<MseLossBackward0>)
tensor(12.8370, grad_fn=<MseLossBackward0>)
tensor(167.8495, grad_fn=<MseLossBackward0>)
tensor(5.4210, grad_fn=<MseLossBackward0>)
tensor(168.2994, grad_fn=<MseLossBackward0>)
tensor(164.0714, grad_fn=<MseLossBackward0>)
tensor(6.5987, grad_fn=<MseLossBackward0>)
tensor(165.5784, grad_fn=<MseLossBackward0>)
tensor(172.4500, grad_fn=<MseLossBackward0>)
tensor(182.7470, grad_fn=<MseLossBackward0>)
tensor(314.4735, grad_fn=<MseLossBackward0>)
tensor(164.1891, grad_fn=<MseLossBackward0>)
tensor(6.8836, grad_fn=<MseLossBackward0>)
tensor(6.8075, grad_fn=<MseLossBackward0>)
tensor(159.5856, grad_fn=<MseLossBackward0>)
tensor(6.9695, grad_fn=<MseLossBackward0>)
tensor(4.0096, grad_fn=<MseLossBackward0>)
tensor(21.2958, grad_fn=<MseLossBackward0>)
tensor(7.6696, grad_fn=<MseLossBackward0>)
tensor(317.9847, grad_fn=<MseLossBackward0>)
tensor(9.4767, grad_fn=<MseLossBackward0>)
tensor(321.8875, grad_fn=<MseLossBackward0>)
tensor(157.9305, grad_fn=<MseLossBackward0>)
tensor(9.4443, grad_fn=<MseLossBackward0>)
tensor(525.7409, grad_fn=<MseLossBackward0>)
tensor(2.6322, grad_fn=<MseLossBackward0>)
tensor(286.6216, grad_fn=<MseLossBackward0>)
tensor(160.5569, grad_fn=<MseLossBackward0>)
tensor(9.6617, grad_fn=<MseLossBackward0>)
tensor(339.3086, grad_fn=<MseLossBackward0>)
tensor(12.3726, grad_fn=<MseLossBackward0>)
tensor(6.8313, grad_fn=<MseLossBackward0>)
tensor(158.3780, grad_fn=<MseLossBackward0>)
tensor(159.8161, grad_fn=<MseLossBackward0>)
